iter	Passed	Remaining
0	4	4364
1	8	4282
2	11	3871
3	14	3681
4	17	3552
5	20	3392
6	23	3332
7	26	3252
8	29	3226
9	32	3198
10	34	3128
11	37	3125
12	41	3113
13	43	3089
14	46	3039
15	48	3004
16	51	2985
17	54	2954
18	56	2927
19	59	2892
20	62	2901
21	64	2855
22	66	2840
23	69	2836
24	72	2823
25	74	2792
26	76	2764
27	78	2734
28	80	2698
29	82	2657
30	83	2621
31	85	2580
32	86	2546
33	88	2512
34	89	2472
35	90	2433
36	92	2398
37	93	2369
38	94	2334
39	95	2303
40	97	2270
41	98	2236
42	99	2206
43	100	2179
44	101	2154
45	102	2128
46	103	2102
47	104	2075
48	105	2050
49	106	2024
50	107	1998
51	108	1975
52	109	1954
53	110	1934
54	111	1915
55	112	1893
56	113	1875
57	114	1858
58	115	1839
59	116	1820
60	117	1807
61	118	1792
62	119	1779
63	120	1764
64	121	1748
65	122	1734
66	123	1719
67	124	1707
68	125	1695
69	126	1684
70	127	1670
71	128	1658
72	129	1646
73	130	1636
74	131	1625
75	132	1614
76	133	1604
77	134	1593
78	135	1582
79	136	1573
80	137	1563
81	138	1554
82	139	1544
83	140	1536
84	141	1527
85	142	1518
86	144	1511
87	144	1502
88	145	1493
89	146	1481
90	147	1474
91	148	1466
92	149	1461
93	150	1453
94	151	1445
95	152	1439
96	153	1432
97	154	1425
98	155	1418
99	157	1413
100	158	1408
101	159	1401
102	160	1396
103	161	1390
104	162	1384
105	163	1377
106	164	1371
107	165	1365
108	166	1360
109	167	1355
110	168	1350
111	169	1344
112	170	1339
113	171	1335
114	173	1331
115	173	1325
116	174	1320
117	175	1315
118	177	1311
119	178	1306
120	179	1302
121	180	1299
122	181	1294
123	182	1289
124	183	1284
125	184	1278
126	185	1272
127	186	1268
128	187	1264
129	188	1260
130	189	1256
131	190	1252
132	191	1248
133	192	1244
134	193	1240
135	194	1236
136	195	1232
137	196	1228
138	197	1225
139	199	1225
140	200	1222
141	201	1220
142	202	1216
143	204	1213
144	205	1209
145	206	1205
146	207	1202
147	208	1198
148	209	1194
149	210	1190
150	211	1186
151	212	1184
152	213	1181
153	214	1177
154	215	1174
155	216	1170
156	217	1166
157	218	1163
158	219	1159
159	220	1156
160	221	1153
161	222	1150
162	223	1147
163	224	1143
164	225	1139
165	226	1136
166	227	1133
167	228	1131
168	229	1128
169	230	1125
170	231	1122
171	232	1118
172	233	1116
173	234	1113
174	235	1111
175	236	1108
176	237	1105
177	238	1102
178	239	1099
179	240	1096
180	241	1093
181	242	1091
182	243	1088
183	244	1085
184	245	1082
185	246	1079
186	247	1077
187	248	1074
188	249	1071
189	250	1068
190	251	1066
191	252	1064
192	253	1061
193	254	1059
194	255	1056
195	256	1053
196	257	1050
197	258	1048
198	259	1046
199	260	1043
200	262	1041
201	263	1039
202	263	1036
203	264	1033
204	265	1031
205	266	1028
206	268	1026
207	269	1024
208	270	1021
209	271	1019
210	272	1017
211	273	1015
212	274	1012
213	275	1011
214	276	1009
215	277	1006
216	278	1004
217	279	1002
218	280	999
219	281	997
220	282	995
221	283	993
222	284	990
223	285	988
224	286	986
225	287	984
226	288	981
227	289	979
228	290	977
229	291	975
230	292	973
231	293	972
232	294	970
233	295	968
234	296	966
235	297	964
236	298	962
237	299	960
238	300	958
239	302	956
240	303	955
241	304	953
242	305	951
243	306	949
244	307	948
245	308	946
246	310	945
247	311	944
248	312	942
249	313	940
250	314	938
251	315	935
252	316	934
253	317	933
254	318	931
255	319	929
256	320	927
257	322	926
258	323	924
259	324	922
260	325	920
261	326	918
262	327	916
263	328	914
264	329	913
265	330	911
266	331	909
267	332	907
268	333	905
269	334	903
270	335	901
271	336	899
272	337	897
273	338	896
274	339	894
275	340	892
276	341	890
277	342	889
278	343	887
279	344	885
280	345	884
281	346	882
282	347	880
283	348	878
284	349	876
285	350	874
286	351	873
287	352	871
288	353	870
289	354	868
290	355	866
291	356	864
292	357	862
293	358	860
294	359	858
295	360	856
296	361	855
297	362	853
298	363	851
299	363	849
300	364	847
301	365	845
302	366	843
303	367	842
304	368	840
305	370	839
306	371	837
307	372	836
308	373	834
309	374	832
310	375	831
311	376	829
312	377	828
313	378	826
314	379	824
315	380	822
316	381	821
317	382	819
318	383	817
319	384	816
320	385	814
321	386	813
322	387	811
323	388	810
324	389	808
325	390	807
326	391	805
327	392	804
328	393	803
329	394	801
330	395	799
331	396	798
332	397	796
333	398	794
334	399	793
335	400	792
336	401	790
337	402	788
338	403	787
339	404	785
340	405	784
341	406	782
342	407	781
343	408	779
344	410	778
345	411	777
346	412	775
347	413	774
348	414	772
349	415	770
350	416	770
351	417	768
352	418	767
353	419	765
354	420	763
355	421	762
356	422	760
357	423	759
358	424	757
359	425	756
360	426	755
361	427	753
362	428	751
363	429	750
364	430	748
365	431	747
366	432	746
367	433	745
368	434	743
369	435	742
370	436	740
371	437	739
372	438	737
373	439	736
374	441	735
375	442	733
376	442	732
377	443	730
378	444	728
379	445	727
380	446	725
381	447	724
382	448	722
383	449	721
384	450	720
385	451	718
386	452	716
387	453	715
388	454	713
389	455	712
390	456	711
391	457	710
392	459	709
393	460	708
394	461	706
395	462	705
396	463	704
397	464	703
398	465	701
399	466	700
400	467	698
401	469	697
402	470	696
403	471	695
404	472	694
405	473	692
406	474	691
407	475	689
408	476	688
409	477	686
410	478	685
411	479	683
412	480	682
413	481	681
414	482	680
415	483	678
416	484	677
417	485	675
418	486	674
419	487	673
420	488	671
421	489	670
422	490	668
423	491	667
424	492	666
425	493	664
426	494	663
427	495	662
428	496	661
429	497	659
430	498	658
431	499	657
432	500	655
433	501	654
434	502	653
435	504	652
436	504	650
437	506	649
438	507	648
439	508	646
440	509	645
441	510	643
442	511	642
443	512	641
444	513	640
445	514	638
446	515	637
447	515	635
448	517	634
449	518	633
450	519	632
451	520	631
452	521	630
453	522	628
454	523	627
455	524	625
456	525	624
457	527	623
458	528	622
459	529	621
460	530	620
461	531	618
462	532	617
463	533	616
464	535	615
465	536	614
466	537	613
467	538	611
468	539	610
469	540	609
470	541	608
471	542	606
472	543	605
473	544	604
474	545	603
475	546	601
476	547	600
477	548	599
478	550	598
479	551	597
480	552	595
481	553	594
482	554	593
483	555	592
484	556	591
485	557	590
486	559	588
487	560	587
488	561	586
489	562	585
490	563	583
491	564	582
492	565	581
493	566	580
494	567	578
495	568	577
496	569	576
497	570	575
498	571	574
499	573	573
500	574	572
501	575	571
502	576	569
503	577	568
504	578	567
505	579	565
506	580	564
507	581	563
508	582	562
509	583	561
510	584	559
511	585	558
512	586	557
513	587	555
514	588	554
515	589	553
516	590	552
517	591	550
518	592	549
519	593	548
520	594	546
521	595	545
522	596	544
523	598	543
524	599	541
525	600	540
526	600	539
527	602	538
528	603	536
529	603	535
530	605	534
531	606	533
532	607	531
533	608	530
534	609	529
535	610	528
536	611	526
537	612	525
538	613	524
539	614	523
540	615	521
541	615	520
542	616	519
543	617	517
544	618	516
545	619	515
546	620	513
547	621	512
548	622	511
549	623	509
550	624	508
551	625	507
552	626	506
553	626	504
554	627	503
555	628	502
556	629	500
557	630	499
558	631	498
559	632	496
560	633	495
561	634	494
562	635	493
563	636	491
564	637	490
565	638	489
566	639	488
567	639	486
568	640	485
569	641	484
570	642	482
571	643	481
572	644	480
573	645	479
574	646	477
575	647	476
576	648	475
577	649	473
578	649	472
579	650	471
580	651	469
581	652	468
582	653	467
583	654	466
584	655	465
585	656	463
586	657	462
587	658	461
588	659	460
589	660	459
590	661	457
591	662	456
592	663	455
593	663	453
594	664	452
595	665	451
596	666	449
597	667	448
598	668	447
599	670	446
600	671	445
601	672	444
602	672	443
603	673	441
604	674	440
605	675	439
606	676	438
607	677	436
608	678	435
609	680	434
610	680	433
611	681	432
612	682	431
613	684	430
614	685	428
615	686	427
616	687	426
617	688	425
618	689	424
619	690	423
620	691	422
621	692	421
622	693	419
623	694	418
624	696	417
625	697	416
626	698	415
627	698	414
628	700	412
629	700	411
630	701	410
631	702	409
632	703	407
633	704	406
634	705	405
635	706	404
636	707	403
637	708	401
638	709	400
639	710	399
640	711	398
641	712	397
642	713	396
643	714	394
644	715	393
645	716	392
646	717	391
647	718	390
648	719	388
649	720	387
650	721	386
651	721	385
652	723	384
653	724	383
654	724	381
655	725	380
656	726	379
657	727	378
658	728	377
659	729	375
660	730	374
661	731	373
662	732	372
663	733	371
664	734	370
665	735	368
666	736	367
667	737	366
668	737	365
669	739	364
670	740	362
671	741	361
672	741	360
673	742	359
674	743	358
675	744	356
676	745	355
677	746	354
678	747	353
679	748	352
680	749	350
681	750	349
682	751	348
683	751	347
684	752	346
685	753	344
686	754	343
687	755	342
688	756	341
689	757	340
690	758	339
691	759	337
692	760	336
693	761	335
694	762	334
695	763	333
696	764	332
697	765	331
698	766	329
699	767	328
700	767	327
701	768	326
702	769	325
703	770	324
704	771	322
705	772	321
706	773	320
707	774	319
708	775	318
709	776	317
710	777	315
711	778	314
712	779	313
713	779	312
714	780	311
715	781	310
716	782	308
717	783	307
718	784	306
719	785	305
720	786	304
721	787	303
722	788	302
723	789	301
724	790	299
725	791	298
726	792	297
727	793	296
728	794	295
729	795	294
730	796	293
731	797	291
732	798	290
733	799	289
734	800	288
735	801	287
736	802	286
737	803	285
738	804	284
739	805	282
740	805	281
741	806	280
742	807	279
743	808	278
744	809	277
745	810	276
746	811	274
747	812	273
748	813	272
749	814	271
750	815	270
751	816	269
752	818	268
753	819	267
754	819	266
755	820	264
756	821	263
757	822	262
758	823	261
759	824	260
760	825	259
761	826	258
762	827	257
763	828	255
764	829	254
765	830	253
766	830	252
767	831	251
768	832	250
769	834	249
770	835	248
771	836	246
772	837	245
773	838	244
774	839	243
775	840	242
776	841	241
777	842	240
778	843	239
779	844	238
780	845	237
781	846	235
782	847	234
783	848	233
784	849	232
785	850	231
786	851	230
787	852	229
788	853	228
789	854	227
790	855	225
791	855	224
792	857	223
793	858	222
794	859	221
795	860	220
796	861	219
797	861	218
798	862	217
799	863	215
800	864	214
801	865	213
802	866	212
803	867	211
804	868	210
805	869	209
806	870	208
807	871	207
808	872	205
809	873	204
810	874	203
811	875	202
812	876	201
813	877	200
814	878	199
815	879	198
816	879	197
817	881	196
818	882	195
819	883	193
820	884	192
821	885	191
822	886	190
823	887	189
824	888	188
825	889	187
826	890	186
827	891	185
828	892	184
829	893	182
830	894	181
831	895	180
832	896	179
833	897	178
834	898	177
835	899	176
836	900	175
837	900	174
838	901	173
839	902	171
840	903	170
841	904	169
842	905	168
843	906	167
844	907	166
845	908	165
846	909	164
847	910	163
848	910	162
849	912	160
850	913	159
851	914	158
852	915	157
853	916	156
854	917	155
855	917	154
856	918	153
857	920	152
858	921	151
859	921	150
860	922	148
861	923	147
862	924	146
863	925	145
864	926	144
865	927	143
866	928	142
867	929	141
868	930	140
869	930	139
870	931	138
871	932	136
872	933	135
873	934	134
874	935	133
875	937	132
876	938	131
877	939	130
878	940	129
879	941	128
880	942	127
881	943	126
882	944	125
883	945	124
884	946	122
885	947	121
886	947	120
887	948	119
888	949	118
889	950	117
890	951	116
891	952	115
892	953	114
893	954	113
894	955	112
